O que é o clima?;Clima, por vezes entendido como o "tempo médio", é definido como a medida da média e da variabilidade de quantidades relevantes de certas variáveis (tais como a temperatura, a precipitação ou vento) ao longo de um período de tempo, que vão desde meses a milhares ou mesmo milhões de anos. O período clássico é de 30 anos, como definido pela Organização Meteorológica Mundial (OMM). Clima num sentido mais amplo é o estado, incluindo uma descrição estatística, do sistema climático. 
Qual é a diferença entre tempo e clima?;Algumas pessoas dizem que "o tempo é o que obtém" e "clima é o esperado." "Tempo" refere-se às mudanças mais locais no clima que vemos ao nosso redor, em prazos curtos de minutos a horas ou dias a semanas. Exemplos são familiares são a chuva, a neve, as nuvens, os ventos, as tempestades, as ondas de calor e as inundações. "Clima" refere-se a média de longo prazo (que pode ser regional ou global), e pode ser pensado como o tempo em média ao longo de várias estações, anos ou décadas. A mudança climática é mais difícil para nós termos uma noção porque os prazos envolvidos são muito mais longos, bem como o impacto das mudanças climáticas pode ser menos imediata. Exemplos de mudanças climáticas incluem vários verões mais secos do que o normal, uma tendência de, digamos, invernos tornando-se mais suaves desde a infância dos nossos avós até os nossos dias ou variações como as causadas pelo El Niño ou La Niña. 
O que é a mudança climática?;Artigo 1º da Convenção das Nações Unidas sobre Mudança do Clima (UNFCCC) define "mudança climática", como: "Uma mudança de clima que é atribuída direta ou indiretamente à atividade humana que altera a composição da atmosfera global e que é, além de variabilidade climática natural observada ao longo de períodos comparáveis."
O que é o Sistema Climático?;O sistema climático é composto por cinco componentes principais; Atmosfera, Hidrosfera, Criosfera, superfície terrestre e a Biosfera. O sistema climático está mudando continuamente devido às interações entre os componentes, assim como fatores externos, tais como erupções vulcânicas ou variações solares e fatores induzidos pelo homem, tais como mudanças na atmosfera e mudanças no uso da terra. 
Por que utilizar as Rotate Grid ?;As Rotate Grids (malhas regulares rodadas) são utilizadas para evitar o problema da diminuição das distâncias lineares ao longo das longitudes mais próximas do pólo. À medida que nos aproximamos dos pólos o espaçamento da grelha horizontal diminui, causando instabilidades numéricas nas análises. Muitos modelos climáticos de previsão utilizam grelhas com um pólo norte arbitrário, que difere do pólo geográfico. 
Quem são os "vilões" das Mudanças Climáticas?;Queima de combustíveis fósseis (dos automóveis, das indústrias, usinas termoelétricas), queimadas, desmatamento, decomposição de lixo etc. 
Dá para interromper o aquecimento global?;Muitos prejuízos causados pela ação indevida do homem na natureza, inclusive o aquecimento da superfície da Terra acima do normal, são irreversíveis, ou seja, não dá para consertar, ou voltar atrás, por décadas ou séculos. As espécies que forem extintas, por exemplo, nunca mais existirão. Se o grau de aquecimento global será maior ou menor, depende muito da vontade dos governos e das pessoas em implantar ações que resultem na redução da emissão dos gases de efeito estufa. Mas cabe a cada um de nós demonstrar disposição em contribuir com a diminuição dos efeitos das mudanças climáticas, e buscar soluções de adaptação a uma nova realidade de vida. Você, que já nasceu em um mundo consciente de que a Terra precisa de cuidados e atenção, pode ajudar bastante na conscientização dos mais velhos, dos governantes e dos meios de comunicação. 
Quais as consequências do aquecimento global?;As consequências do aumento de temperatura são graves para todos os seres vivos, incluindo o homem. O aquecimento global tem impactos profundos no planeta: extinção de espécies animais e vegetais, alteração na frequência e intensidade de chuvas (interferindo, por exemplo, na agricultura), elevação do nível do mar e intensificação de fenômenos meteorológicos (por exemplo: tempestades severas, inundações, vendavais, ondas de calor, secas prolongadas), entre outros. Essas conclusões foram obtidas após análise dos diversos cenários de emissões de gases de efeito estufa para os próximos 100 anos, feitas por cientistas do IPCC. As ações humanas têm interferido sobre o ambiente num ritmo muito acelerado. Estudos indicam, por exemplo, que, enquanto a temperatura média global subiu, aproximadamente, 5°C em 10 mil anos - contados desde o fim da última glaciação até 10 mil anos atrás – pode aumentar os mesmos 5°C em apenas 200 anos, a continuar o ritmo de aquecimento global que se observa nas últimas décadas. Esta rápida transformação levou o Prof. Paul Crutzen, Prêmio Nobel de Química, em 1995, a definir os últimos 200 anos a partir da Revolução Industrial como o “antropoceno”, isto é, uma era geológica dominada pelas transformações ambientais globais causadas pelas atividades humanas. 
O que é o efeito estufa?;O efeito estufa é um fenômeno natural que faz com que a temperatura da superfície da Terra seja favorável à existência de vida no planeta. Se ele não existisse, a temperatura média da superfície da Terra seria -18°C, ao invés dos 15°C que temos hoje, ou seja, 33°C menor. Para entender o efeito estufa, pense em um ônibus parado sob a luz do sol. Os raios chegam como radiação solar visível, passam pelos vidros e aquecem o interior (calor). Esse calor (radiação infravermelha) procura sair pelos vidros, mas tem dificuldade de passar por eles. Ou seja, uma parte fica presa dentro do ônibus, aquecendo-o. O mesmo ocorre com a atmosfera da Terra. Alguns gases, como vapor d’água e gás carbônico (CO2), funcionam como o vidro do ônibus, deixando entrar a radiação ultravioleta, mas dificultando o retorno do calor para o espaço. Quando aumenta a concentração de gases na atmosfera (por exemplo, do gás carbônico), o efeito estufa fica mais intenso e, portanto, fica mais difícil o calor ir para o esp aço. Essa diferença causa o aquecimento da baixa atmosfera, elevando a temperatura média da Terra e causando mudanças climáticas. 
O que o desmatamento de florestas tem a ver com as mudanças no clima?;No Brasil, 58% das emissões de gases de efeito estufa são provenientes de queimadas e desmatamento. Por isso, é muito importante encontrar caminhos para o desenvolvimento sustentável dos biomas brasileiros (Amazônia, Cerrado, Pantanal, Caatinga, Mata Atlântica, Pampas), sem que seja necessário degradar essas regiões. 
Como posso ajudar a reduzir os efeitos das mudanças climáticas?;É preciso mudar nossos hábitos e costumes. Além daquelas recomendações básicas – apagar a luz quando sair do quarto, fechar a torneira enquanto escova os dentes, fechar o chuveiro enquanto se ensaboa, separar o lixo reciclável, não jogar pilhas no lixo comum etc., veja outras dicas que você pode seguir e passar adiante: As áreas verdes são muito importantes para reduzir as temperaturas máximas. As árvores trazem sombra e frescor ao ambiente próximo a elas, sem gasto de energia (como ocorre com um ventilador ou ar condicionado). Uma cidade com muitas áreas verdes é menos quente! Pintar telhados com tinta refletiva também diminui a temperatura interna da construção. Uma cidade onde as casas têm mais jardins e quintais e menos áreas de asfalto e concreto também está mais protegida das inundações, que com as mudanças climáticas, tendem ser cada vez mais frequentes. O Brasil é o único país que fabrica automóveis flex, ou seja, que funcionam com álcool ou gasolina. O álcool é menos poluente do que a gasolina, dê preferência a esse combustível! No Brasil, 58% das emissões de gases de efeito estufa são provenientes de queimadas e desmatamento. Por isso, é muito importante encontrar caminhos para o desenvolvimento sustentável dos biomas brasileiros (Amazônia, Cerrado, Pantanal, Caatinga, Mata Atlântica, Pampas), sem que seja necessário degradar essas regiões.
